tokenId,top_tokens
123,"[91, 7486, 18062, 11401, 20581, 19655, 20587, 21396, 905, 20610, 18067, 8895, 19328, 20020, 19955, 16230, 17825, 14594, 8978, 21763, 18774, 654, 8663, 5440, 20892, 15421, 1529, 19319, 19763, 20470]"
124,"[6283, 8640, 8887, 8598, 2813, 6459, 16753, 509, 11715, 9849, 11634, 11856, 11131, 10310, 2768, 7690, 12484, 1847, 13270, 9805, 7048, 4302, 3404, 8018, 15359, 7313, 4274, 1012, 6414, 7000]"
126,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
127,"[11375, 3199, 6623, 8295, 1707, 1831, 12612, 11532, 21437, 19299, 3318, 4602, 1833, 6774, 1473, 10141, 7851, 4200, 3467, 2571, 7056, 12337, 12138, 8965, 2745, 3978, 7219, 15915, 8781, 11677]"
129,"[12929, 17688, 17273, 15998, 15933, 10256, 11168, 18812, 15880, 14475, 15552, 17358, 15001, 17416, 10840, 2842, 20198, 17075, 8850, 2987, 16351, 19187, 21184, 17857, 21811, 19405, 10816, 9697, 4528, 20376]"
130,"[1533, 1822, 2154, 9776, 7222, 10712, 4185, 1371, 8603, 8372, 9161, 10257, 2300, 1847, 2931, 10553, 4885, 605, 19161, 16581, 9751, 15442, 11483, 19036, 19134, 5512, 17602, 17931, 11876, 18416]"
131,"[908, 900, 10699, 21167, 21117, 19883, 18004, 20817, 13454, 10411, 13188, 17891, 1076, 19856, 6423, 13445, 179, 8118, 21525, 18313, 1566, 15099, 17894, 9640, 9266, 18041, 18275, 2118, 14076, 9173]"
132,"[827, 562, 8133, 2960, 7720, 9986, 2962, 767, 5255, 10537, 12655, 8668, 7041, 1967, 8874, 19063, 14184, 15590, 1167, 7284, 13852, 17952, 7422, 19894, 17182, 1817, 15029, 5510, 1648, 12399]"
135,"[19549, 3173, 14067, 2349, 722, 20322, 20908, 3115, 10460, 20528, 7710, 1839, 5178, 15107, 8854, 12163, 5384, 4847, 7143, 2738, 4292, 849, 18522, 6024, 2119, 11014, 6881, 13938, 6776, 1319]"
136,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
